"","G","mean_inc","occurrences"
"1",25,75.5667894231144,864
"2",37,106.906459339078,2806
"3",41,94.6192043278662,672
"4",42,87.9926645729699,1289
"5",43,90.752152424872,1270
"6",44,84.8837142428955,671
"7",45,122.037740680629,1270
"8",46,81.1439407209991,1248
"9",47,102.298618423833,1199
"10",48,104.424313752634,1770
"11",49,91.8276073686928,1186
"12",50,99.3920820343095,573
"13",51,83.623176365042,589
"14",52,111.100547609289,3389
"15",53,94.7521649892723,1712
"16",54,104.881207687007,1662
"17",55,77.2331578539947,539
"18",56,95.7726655966965,1121
"19",57,108.684555185557,2054
"20",58,96.5476999778955,1653
"21",59,117.948397882263,2623
"22",60,94.408292024715,509
"23",61,78.7055002907055,1030
"24",62,102.660422645128,1453
"25",63,101.901801476388,1552
"26",64,118.307427726537,1012
"27",65,86.1583164924417,468
"28",66,86.0059489012014,474
"29",67,87.6307096751976,902
"30",68,87.6834167662837,3332
"31",69,96.9976633653822,856
"32",70,109.083827862365,472
"33",71,89.0603682724394,923
"34",72,98.523204948026,911
"35",73,94.1164593516463,458
"36",74,107.310181371332,395
"37",75,93.2157192755914,881
"38",76,72.6070261006876,947
"39",77,90.3289687903575,1301
"40",78,74.8446895353909,826
"41",80,79.9743179419363,874
"42",81,90.182194044521,1266
"43",83,88.579568169339,425
"44",85,65.9567976279675,436
"45",87,132.887621186513,337
"46",90,121.287003693613,404
